Property type,Rooms,Floor,Furnished,Balcony,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,district
Apartment,2,2,No,Yes,2024-04-03,11751,686,35253,11751,59442,2024-01-29,Amager Vest
Apartment,4,4,No,Yes,2024-04-03,16500,16500,16500,950,50450,2024-01-22,Amager Vest
Apartment,2,4,No,Yes,2024-04-03,12600,650,37800,12600,63650,2024-01-22,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,14100,750,42300,14100,71250,2024-01-22,Amager Vest
Apartment,3,6,No,Yes,2024-04-03,14400,750,43200,14400,72750,2024-01-22,Amager Vest
Apartment,3,3,No,Yes,2024-04-03,44500,1500,133500,44500,224000,2024-01-20,Amager Vest
Apartment,4,2,Yes,Yes,2024-04-03,16000,1182,48000,16000,81182,2024-01-18,Amager Vest
Room,1,2,Yes,Yes,2024-04-03,4400,600,5000,0,10000,2024-01-18,Amager Øst
Apartment,3,0,No,Yes,2024-04-03,15100,910,45300,15100,76410,2024-01-16,Amager Vest
Apartment,2,3,No,Yes,2024-04-03,12600,650,37800,12600,63650,2024-01-15,Amager Vest
Room,1,3,Yes,No,2024-04-03,5500,0,5500,0,11000,2024-01-13,Amager Vest
Apartment,5,3,No,No,2024-04-03,17600,1000,52800,17600,89000,2024-01-12,Amager Vest
Apartment,2,1,No,No,2024-04-03,11500,550,34500,11500,58050,2024-01-12,Amager Vest
Apartment,2,0,Yes,No,2024-04-03,11399,570,22798,11399,46166,2024-01-12,Amager Vest
Apartment,3,3,Yes,Yes,2024-04-03,15000,800,45000,15000,75800,2024-01-10,Amager Vest
Apartment,2,6,No,Yes,2024-04-03,13100,650,39300,13100,66150,2024-01-10,Amager Vest
Apartment,2,5,No,Yes,2024-04-03,12800,650,38400,12800,64650,2024-01-10,Amager Vest
Room,1,7,Yes,Yes,2024-04-03,8000,0,24000,0,32000,2024-01-09,Amager Vest
Room,1,3,Yes,Yes,2024-04-03,4000,0,4000,0,8000,2024-01-09,Amager Vest
Apartment,1,2,No,Yes,2024-04-30,8400,400,25200,8400,42400,2024-03-11,Amager Vest
Apartment,4,4,No,Yes,2024-04-03,19750,1470,59250,19750,100220,2024-01-08,Amager Vest
Apartment,1,3,Yes,No,2024-04-03,9000,550,19000,9000,37550,2022-10-12,Amager Vest
Apartment,3,10,No,No,2024-04-03,15000,950,45000,15000,75950,2024-01-08,Amager Vest
Room,1,0,No,Yes,2024-04-03,5000,0,5000,0,10000,2024-01-05,Amager Vest
Apartment,3,6,No,Yes,2024-04-03,35000,1400,105000,35000,176400,2024-01-04,Amager Vest
Apartment,4,1,No,Yes,2024-04-03,27500,,82500,27500,137500,2024-01-02,Amager Vest
Room,1,3,No,Yes,2024-04-03,4000,0,2000,0,6000,2023-12-30,Amager Vest
Room,1,3,No,Yes,2024-04-03,5400,400,16200,5400,27400,2023-12-29,Amager Vest
Apartment,3,6,No,Yes,2024-04-03,14300,790,42900,14300,72290,2023-12-21,Amager Vest
House,7,0,No,Yes,2024-04-03,36000,1250,108000,,145250,2023-12-21,Amager Øst
Apartment,2,2,No,Yes,2024-04-03,12700,2500,38100,12700,66000,2023-12-21,Amager Vest
Room,1,1,No,No,2024-04-03,6000,300,12000,0,18300,2023-12-05,Amager Øst
Apartment,2,3,No,Yes,2024-04-03,13350,762,40050,13350,67512,2023-12-20,Amager Vest
Apartment,3,1,Yes,Yes,2024-04-03,15300,550,30600,15300,61750,2023-12-20,Amager Vest
Apartment,3,4,Yes,Yes,2024-04-03,17000,550,34000,17000,68550,2023-12-20,Amager Vest
Apartment,1,2,Yes,Yes,2024-04-03,13000,550,26000,13000,52550,2023-12-20,Amager Vest
Apartment,1,0,Yes,Yes,2024-04-03,12500,550,25000,12500,50550,2023-12-20,Amager Vest
Apartment,1,3,Yes,Yes,2024-04-03,11440,550,22880,11440,46310,2023-12-20,Amager Vest
Apartment,1,3,Yes,Yes,2024-04-03,10000,550,20000,10000,40550,2023-12-20,Amager Vest
Apartment,3,9,No,Yes,2024-04-03,15150,996,45450,15150,76746,2023-12-20,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,14200,800,42600,14200,71800,2023-12-19,Amager Vest
Apartment,5,3,No,Not specified,2024-04-03,35000,,105000,,140000,2023-12-10,Indre By
Apartment,4,4,No,Yes,2024-04-03,16900,1100,50700,16900,85600,2023-12-19,Amager Vest
Apartment,2,0,No,Yes,2024-04-03,14450,800,43350,14450,73050,2023-12-12,Amager Øst
Apartment,2,5,No,Yes,2024-04-03,12900,650,38700,12900,65150,2023-12-12,Amager Vest
Apartment,3,1,No,Yes,2024-04-03,13800,700,41400,13800,69700,2023-12-12,Amager Vest
Room,1,4,Yes,Yes,2024-04-03,6008,0,16824,6008,28840,2023-12-11,Amager Vest
Apartment,2,6,No,Yes,2024-04-03,12500,600,37500,12500,63100,2023-12-11,Amager Vest
Apartment,3,2,No,Yes,2024-04-03,13600,700,40800,13600,68700,2023-12-11,Amager Vest
Room,2,5,No,Yes,2024-04-03,5300,400,10600,5300,21600,2023-12-09,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,15100,1100,45300,15100,76600,2023-12-07,Amager Vest
Apartment,4,6,No,Yes,2024-04-03,18000,1350,54000,18000,91350,2023-12-07,Amager Vest
Room,1,0,No,No,2024-04-03,4000,0,4000,4000,12000,2023-12-13,Amager Øst
Room,1,5,Yes,No,2024-04-03,6500,0,0,6500,13000,2023-12-05,Amager Vest
Apartment,2,3,Yes,Yes,2024-04-03,14000,0,28000,14000,56000,2023-12-05,Amager Vest
Apartment,2,4,No,No,2024-04-03,11300,1050,33900,11300,57550,2023-12-04,Amager Vest
Apartment,2,5,No,Yes,2024-04-03,14000,600,42000,14000,70600,2023-12-01,Amager Øst
Room,1,0,Yes,Yes,2024-04-03,5500,700,16500,0,22700,2023-11-30,Amager Øst
Apartment,3,3,No,Yes,2024-04-03,14000,800,42000,14000,70800,2023-11-30,Amager Vest
Room,1,0,No,Yes,2024-04-03,5570,0,11140,5570,22280,2023-11-28,Amager Øst
Apartment,2,5,No,Yes,2024-04-03,12800,600,38400,12800,64600,2023-11-28,Amager Vest
Apartment,4,4,No,Yes,2024-04-03,17100,1100,51300,17100,86600,2023-11-28,Amager Vest
Apartment,3,3,No,Yes,2024-04-03,13700,700,41100,13700,69200,2023-11-28,Amager Vest
Apartment,3,2,No,Yes,2024-04-03,13900,700,41700,13900,70200,2023-11-28,Amager Vest
Room,1,0,No,No,2024-04-03,4900,100,14000,0,19000,2023-11-26,Amager Øst
Apartment,3,9,Yes,Yes,2024-04-03,25000,1500,0,8065,34565,2023-11-25,Amager Vest
Apartment,3,6,No,Yes,2024-04-03,14750,900,29500,14750,59900,2023-11-24,Amager Vest
Apartment,3,4,No,Yes,2024-04-03,14400,850,43200,14400,72850,2023-11-23,Amager Vest
Apartment,5,1,No,Not specified,2024-04-03,24000,,72000,,96000,2023-11-23,Amager Øst
Room,1,4,No,Yes,2024-04-03,6300,0,6300,6300,18900,2023-11-23,Amager Vest
Apartment,3,1,No,Yes,2024-04-03,12800,,38400,12800,64000,2023-11-22,Amager Vest
Apartment,2,9,No,Yes,2024-04-03,12800,600,38400,12800,64600,2023-11-21,Amager Vest
Apartment,2,3,No,Not specified,2024-04-03,16000,,48000,,64000,2023-11-21,Amager Øst
Apartment,3,6,No,Yes,2024-04-03,37500,1500,112500,37500,189000,2023-11-17,Amager Vest
Apartment,4,3,No,Yes,2024-04-03,14500,,43500,14500,72500,2023-11-16,Amager Vest
Apartment,2,2,No,Yes,2024-04-03,12550,750,25100,12550,50950,2023-11-14,Amager Vest
Apartment,2,10,No,Yes,2024-04-03,12850,600,38550,12850,64850,2023-11-13,Amager Vest
Apartment,2,10,No,Yes,2024-04-03,12850,600,38550,12850,64850,2023-11-13,Amager Vest
Apartment,4,3,No,Yes,2024-04-03,17400,1150,52200,17400,88150,2023-11-13,Amager Vest
Apartment,4,5,No,Yes,2024-04-03,15200,1000,45600,15200,77000,2023-11-13,Amager Vest
Apartment,3,4,No,Yes,2024-04-03,14100,700,42300,14100,71200,2023-11-10,Amager Vest
Apartment,2,9,No,Yes,2024-04-03,12800,600,38400,12800,64600,2023-11-10,Amager Vest
Apartment,3,0,No,Yes,2024-04-03,14100,921,42300,14100,71421,2023-11-07,Amager Vest
Apartment,2,5,No,Yes,2024-04-03,12500,800,25000,12500,50800,2023-11-07,Amager Vest
Apartment,2,2,No,Yes,2024-04-03,12350,850,24700,12350,50250,2023-11-07,Amager Vest
